rxpck, txpck,rxk,txk  
 2.00 , 2.00,   0.11,   0.11 
  6.00,  6.00,   0.36,   0.36
508.00,508.00,1200.39,1200.39
632.00,632.00,1632.00,1632.00
682.00,682.00,1745.96,1745.96
644.00,644.00,1612.92,1612.92
658.00,658.00,1683.97,1683.97
656.00,656.00,1693.97,1693.97
576.00,576.00,1487.39,1487.39
678.00,678.00,1735.63,1735.63
740.00,740.00,1910.88,1910.88
696.00,696.00,1777.08,1777.08
690.00,690.00,1786.79,1786.79
640.00,640.00,1652.66,1652.66
639.00,639.00,1541.26,1541.26
628.00,628.00,1621.67,1621.67
718.00,718.00,1838.91,1838.91
672.00,672.00,1735.29,1735.29
763.00,763.00,1902.72,1902.72
545.00,545.00,1394.79,1394.79
691.00,691.00,1776.78,1776.78
629.00,629.00,1601.54,1601.54
710.00,710.00,1838.44,1838.44
746.00,746.00,1921.33,1921.33
600.00,600.00,1539.26,1539.26
504.00,504.00,1301.47,1301.47
478.00,478.00,1219.17,1219.17
408.00,408.00,1053.57,1053.57
440.00,440.00,1126.13,1126.13
590.00,590.00,1518.46,1518.46
444.00,444.00,1116.68,1116.68
614.00,614.00,1540.37,1540.37
620.00,620.00,1563.22,1563.22
629.00,629.00,1670.86,1670.86
683.00,683.00,1759.05,1759.05
707.00,707.00,1801.45,1801.45
658.00,658.00,1684.00,1684.00
618.00,618.00,1590.80,1590.80
623.00,623.00,1502.52,1502.52
580.00,580.00,1487.62,1487.62
588.00,588.00,1508.28,1508.28
570.00,570.00,1456.74,1456.74
516.00,516.00,1332.45,1332.45
604.00,604.00,1549.68,1549.68
528.00,528.00,1353.47,1353.47
588.00,588.00,1518.52,1518.52
614.00,614.00,1570.50,1570.50
604.00,604.00,1559.84,1559.84
588.00,588.00,1518.52,1518.52
538.00,538.00,1374.24,1374.24
647.00,647.00,1483.13,1483.13
611.00,611.00,1489.42,1489.42
594.00,594.00,1518.92,1518.92
564.00,564.00,1456.54,1456.54
550.00,550.00,1395.33,1395.33
627.00,627.00,1582.00,1582.00
574.00,574.00,1457.12,1457.12
584.00,584.00,1508.19,1508.19
642.00,642.00,1652.92,1652.92
598.00,598.00,1529.19,1529.19
